iter	Logloss
0	0.6692296761
1	0.6465419797
2	0.6254299069
3	0.6062072649
4	0.5871354395
5	0.5692768705
6	0.5521815449
7	0.5359041968
8	0.5212611321
9	0.5068883196
10	0.4937575708
11	0.4821329052
12	0.4705497149
13	0.460109851
14	0.4503788962
15	0.4411201695
16	0.432410149
17	0.4242273365
18	0.416507936
19	0.4089300217
20	0.4017977011
21	0.3953436037
22	0.389147557
23	0.383142159
24	0.3776967543
25	0.37222661
26	0.3672264436
27	0.362482829
28	0.3580728644
29	0.3537839508
30	0.3497463303
31	0.3459204365
32	0.3425417491
33	0.3390930789
34	0.3356547014
35	0.3326441092
36	0.3299173988
37	0.326992858
38	0.3247381331
39	0.3225527776
40	0.3203841053
41	0.3184617206
42	0.316601757
43	0.3146625756
44	0.3128025887
45	0.3110711679
46	0.3096739885
47	0.3076603116
48	0.3061255397
49	0.3047284501
50	0.303296057
51	0.3021790411
52	0.3008273838
53	0.2994780519
54	0.2982257699
55	0.297137093
56	0.2959770872
57	0.2948300586
58	0.2937864515
59	0.2930723148
60	0.2919753882
61	0.2908990375
62	0.2898727108
63	0.2892065675
64	0.2881846557
65	0.2871723677
66	0.2866422447
67	0.2857452242
68	0.2848345425
69	0.2839882265
70	0.2833651861
71	0.2826797627
72	0.2822331246
73	0.2817827952
74	0.2812003816
75	0.2802098889
76	0.2794985399
77	0.2791684524
78	0.2785891687
79	0.2781560638
80	0.2778170945
81	0.2773003373
82	0.2766866239
83	0.2760882967
84	0.2757496833
85	0.2753494136
86	0.2748406075
87	0.2744663756
88	0.2741691502
89	0.2738537878
90	0.2734393462
91	0.2729710896
92	0.2722498848
93	0.271744536
94	0.2714369642
95	0.2711922719
96	0.2708483293
97	0.2703825917
98	0.2699234702
99	0.2694000192
100	0.2692045969
101	0.2689675762
102	0.2686159555
103	0.268277606
104	0.2678969681
105	0.2673430126
106	0.2667391216
107	0.2663458313
108	0.2659563666
109	0.2658212934
110	0.2655729323
111	0.2652581856
112	0.2648548709
113	0.2646488636
114	0.264282076
115	0.2640488113
116	0.2636407823
117	0.2633452055
118	0.2630708336
119	0.2627138042
120	0.2623438895
121	0.2621416436
122	0.2620265483
123	0.2618716696
124	0.2616907357
125	0.2613584366
126	0.2611710813
127	0.2606429581
128	0.2603846063
129	0.2602078241
130	0.2599151337
131	0.2597060909
132	0.2593982291
133	0.2591773212
134	0.2587991763
135	0.2585416104
136	0.25836928
137	0.2579917446
138	0.2578272889
139	0.2574286484
140	0.2571220013
141	0.2569219103
142	0.2566980635
143	0.2565488376
144	0.2563897601
145	0.2560159531
146	0.2557081313
147	0.2555328141
148	0.2554635467
149	0.2553649811
150	0.2551887564
151	0.2549272728
152	0.2546749608
153	0.2546084063
154	0.2543995423
155	0.2542855312
156	0.2541804875
157	0.2539056229
158	0.2537354666
159	0.2534827518
160	0.2532230234
161	0.2530304004
162	0.2527620392
163	0.2525561235
164	0.2523638889
165	0.2522840879
166	0.2521809215
167	0.2519235427
168	0.2518050284
169	0.2515963728
170	0.2513053932
171	0.2510726885
172	0.2509322245
173	0.2507204122
174	0.250533298
175	0.2501784093
176	0.2501021422
177	0.2498265232
178	0.2495220005
179	0.2494203164
180	0.2492687963
