iter	Passed	Remaining
400	31071	46413
401	31083	46239
402	31174	46181
403	31273	46136
404	31371	46089
405	31471	46044
406	31569	45996
407	31575	45814
408	31673	45767
409	31771	45719
410	31777	45539
411	31873	45488
412	31972	45443
413	32072	45397
414	32169	45346
415	32175	45169
416	32272	45120
417	32290	44959
418	32373	44890
419	32471	44841
420	32489	44682
421	32572	44613
422	32671	44565
423	32770	44518
424	32775	44343
425	32873	44294
426	32970	44243
427	32977	44072
428	33072	44019
429	33171	43971
430	33271	43924
431	33371	43877
432	33470	43828
433	33475	43657
434	33572	43605
435	33671	43557
436	33769	43506
437	33775	43337
438	33871	43284
439	33970	43234
440	34069	43185
441	34075	43018
442	34172	42966
443	34271	42916
444	34369	42865
445	34469	42816
446	34475	42650
447	34581	42608
448	34671	42548
449	34771	42498
450	34873	42451
451	34980	42409
452	35070	42348
453	35169	42296
454	35270	42246
455	35369	42194
456	35469	42144
457	35569	42093
458	35670	42043
459	35771	41992
460	35871	41941
461	35970	41887
462	35987	41739
463	36071	41668
464	36170	41615
465	36268	41561
466	36367	41507
467	36373	41348
468	36470	41291
469	36568	41236
470	36668	41184
471	36768	41130
472	36786	40985
473	36874	40920
474	36969	40861
475	37068	40806
476	37170	40754
477	37271	40702
478	37367	40644
479	37465	40588
480	37474	40435
481	37571	40378
482	37765	40423
483	37771	40268
484	37868	40211
485	37967	40154
486	38067	40100
487	38168	40045
488	38267	39988
489	38374	39940
490	38569	39983
491	38668	39925
492	38767	39867
493	38779	39721
494	38972	39759
495	39068	39698
496	39166	39639
497	39266	39581
498	39272	39429
499	39368	39368
500	39467	39310
501	39567	39252
502	39666	39193
503	39672	39042
504	39768	38981
505	39867	38922
506	39966	38862
507	40065	38803
508	40071	38653
509	40167	38592
510	40268	38534
511	40368	38476
512	40469	38418
513	40567	38357
514	40665	38296
515	40765	38237
516	40863	38176
517	40966	38119
518	41065	38058
519	41165	37998
520	41264	37937
521	41269	37791
522	41366	37728
523	41383	37593
524	41467	37518
525	41566	37457
526	41663	37393
527	41668	37249
528	41765	37186
529	41864	37125
530	41870	36981
531	41966	36917
532	42162	36941
533	42265	36883
534	42364	36821
535	42463	36759
536	42468	36616
537	42566	36553
538	42662	36488
539	42668	36347
540	42766	36284
541	42864	36220
542	42964	36159
543	42970	36019
544	43065	35953
545	43164	35891
546	43263	35829
547	43363	35767
548	43369	35627
549	43465	35562
550	43564	35499
551	43664	35437
552	43763	35374
553	43768	35236
554	43865	35171
555	43964	35107
556	44064	35045
557	44069	34908
558	44165	34842
559	44265	34780
560	44373	34723
561	44561	34729
562	44567	34592
563	44664	34527
564	44762	34462
565	44767	34327
566	44863	34260
567	44962	34196
568	44968	34061
569	45065	33996
570	45164	33932
571	45265	33869
572	45364	33805
573	45463	33741
